"file","symbol","raw"
"R/RcppExports.R","_gflow_rcpp_quadform_edge_lengths","    .Call(`_gflow_rcpp_quadform_edge_lengths`, U, V, index_k, coefficients) }  rcpp_quadform_grid_pair_distances <- function(index_k, coefficients, domain_shape, domain_radius, grid_size, pair_points) {     .Call(`_gflow_rcpp_quadform_grid_pair_distances`, index_k, coefficients, domain_shape, domain_radius, grid_size, pair_points)"
"R/RcppExports.R","_gflow_rcpp_quadform_grid_pair_distances","    .Call(`_gflow_rcpp_quadform_grid_pair_distances`, index_k, coefficients, domain_shape, domain_radius, grid_size, pair_points) }  rcpp_quadform_grid_geodesic_distances <- function(X, index_k, coefficients, domain_shape, domain_radius, grid_size, sample_connection_k, with_oracle, oracle_tube_radius, oracle_tube_k, return_oracle_paths) {     .Call(`_gflow_rcpp_quadform_grid_geodesic_distances`, X, index_k, coefficients, domain_shape, domain_radius, grid_size, sample_connection_k, with_oracle, oracle_tube_radius, oracle_tube_k, return_oracle_paths)"
"R/RcppExports.R","_gflow_rcpp_quadform_grid_geodesic_distances","    .Call(`_gflow_rcpp_quadform_grid_geodesic_distances`, X, index_k, coefficients, domain_shape, domain_radius, grid_size, sample_connection_k, with_oracle, oracle_tube_radius, oracle_tube_k, return_oracle_paths) } "
"R/refit_rdgraph_regression.R","S_compute_posterior_summary","                post.j <- .Call(                     ""S_compute_posterior_summary"",                     V,                     eigenvalues,                     filtered.eigenvalues.j,"
"R/riem_dcx_regression.R","S_fit_rdgraph_regression","    fit <- .Call(         S_fit_rdgraph_regression,         X,         as.double(y),         if (is.null(y.vertices)) NULL else as.integer(y.vertices),"
"R/riem_dcx_regression.R","S_compute_hop_extremp_radii_batch","        hop_maxp_radii <- .Call(""S_compute_hop_extremp_radii_batch"",                                 adj.list,                                 dcx$optimal.fit$graph$edge.densities,                                 rho,                                 as.integer(max_candidates),"
"R/riem_dcx_regression.R","S_compute_hop_extremp_radii_batch","        hop_minp_radii <- .Call(""S_compute_hop_extremp_radii_batch"",                                 adj.list,                                 dcx$optimal.fit$graph$edge.densities,                                 rho,                                 as.integer(min_candidates),"
"R/se_tree.R","S_build_se_tree","    result <- .Call(         ""S_build_se_tree"",         adj.list.0based,         weight.list,         as.numeric(y),"
"R/sknn_graphs.R","S_kNN","        raw.knn <- .Call(             ""S_kNN"",             X,             as.integer(k + 1L),             PACKAGE = ""gflow"""
"R/sknn_graphs.R","S_kNN","        raw.bridge <- .Call(             ""S_kNN"",             X,             as.integer(bridge.k.max + 1L),             PACKAGE = ""gflow"""
"R/sknn_graphs.R","S_create_sknn_graph","    result <- .Call(         ""S_create_sknn_graph"",         X,         as.integer(k),         as.logical(connect.components),"
"R/sknn_graphs.R","S_create_sknn_graph","    raw.result <- .Call(         ""S_create_sknn_graph"",         X,         as.integer(k),         FALSE,"
